timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ
2024-10-30 14:56:33,-12.88,2.17,-0.01,4.17,4.77,2.90
2024-10-30 14:56:34,-13.98,4.26,-2.75,3.87,2.80,1.57
2024-10-30 14:56:34,-15.87,5.83,-2.14,3.13,0.60,0.33
2024-10-30 14:56:34,-15.30,7.50,0.72,1.70,-3.13,-2.87
2024-10-30 14:56:34,-15.84,16.18,5.59,-1.03,-6.27,-4.63
2024-10-30 14:56:34,-10.13,17.55,9.07,-6.83,-10.50,-4.30
2024-10-30 14:56:53,-2.56,-6.79,-5.80,-0.03,1.17,0.80
2024-10-30 14:56:53,-3.30,-7.10,-7.01,-0.07,0.90,0.47
2024-10-30 14:56:53,-2.93,-7.18,-7.46,-0.03,0.67,0.47
2024-10-30 14:56:53,-2.18,-7.02,-8.42,-0.17,0.60,0.50
2024-10-30 14:56:53,-1.19,-7.42,-8.54,-0.33,0.60,0.57
2024-10-30 14:56:53,-0.33,-7.33,-9.24,-0.10,0.33,0.53
2024-10-30 14:56:53,0.18,-7.39,-9.80,0.03,0.07,0.30
2024-10-30 14:56:53,0.91,-7.44,-10.17,0.27,-0.07,0.17
2024-10-30 14:56:53,0.75,-7.07,-9.36,0.60,-0.17,-0.00
2024-10-30 14:56:53,0.39,-6.27,-8.17,0.83,-0.17,-0.00
2024-10-30 14:56:53,-0.17,-5.54,-7.57,0.87,-0.03,-0.00
2024-10-30 14:56:53,-0.77,-4.94,-7.53,0.80,0.17,0.10
2024-10-30 14:56:53,-0.91,-4.24,-7.37,0.60,0.33,0.20
2024-10-30 14:56:53,-1.24,-3.84,-7.50,0.23,0.37,0.20
2024-10-30 14:56:53,-1.58,-3.70,-7.19,-0.17,0.20,0.10
2024-10-30 14:56:53,-1.87,-4.16,-6.81,-0.50,0.00,0.20
2024-10-30 14:56:53,-1.14,-4.87,-6.64,-0.53,-0.30,0.17
2024-10-30 14:56:53,-0.17,-6.06,-7.08,-0.33,-0.27,-0.00
2024-10-30 14:56:53,-0.38,-6.57,-6.93,-0.10,0.00,-0.03
2024-10-30 14:56:53,-0.82,-6.66,-6.97,0.17,0.00,-0.10
2024-10-30 14:56:53,-0.88,-6.33,-6.47,0.43,-0.07,-0.17
2024-10-30 14:56:53,-1.12,-5.68,-6.26,0.60,-0.07,-0.10
2024-10-30 14:56:53,-1.38,-5.35,-6.10,0.47,-0.10,-0.03
2024-10-30 14:56:53,-1.40,-5.27,-6.00,0.27,-0.07,-0.00
2024-10-30 14:56:53,-1.49,-5.34,-6.21,0.03,0.00,0.03
2024-10-30 14:56:53,-1.83,-5.63,-6.37,-0.03,0.03,0.10
2024-10-30 14:56:53,-1.97,-5.79,-6.65,-0.03,0.03,0.10
2024-10-30 14:56:53,-2.10,-5.91,-6.87,0.00,0.00,0.03
2024-10-30 14:56:53,-1.88,-5.76,-6.76,0.13,-0.07,-0.00
2024-10-30 14:56:53,-1.70,-5.51,-6.72,0.17,-0.07,-0.00
2024-10-30 14:56:53,-1.69,-5.38,-6.80,0.17,-0.07,-0.00
2024-10-30 14:56:53,-1.57,-5.28,-6.45,0.17,-0.07,0.03
2024-10-30 14:56:53,-1.41,-5.07,-6.23,0.13,-0.10,0.07
2024-10-30 14:56:53,-1.42,-5.05,-6.57,0.03,-0.13,0.10
2024-10-30 14:56:54,-1.15,-5.25,-6.43,0.00,-0.10,0.07
2024-10-30 14:56:54,-1.17,-5.44,-6.43,0.00,0.00,-0.00
2024-10-30 14:56:54,-1.47,-5.32,-6.36,0.17,0.03,-0.00
2024-10-30 14:56:54,-1.42,-5.03,-6.17,0.27,0.00,-0.03
2024-10-30 14:56:54,-1.16,-4.88,-5.75,0.27,-0.03,-0.07
2024-10-30 14:56:54,-1.02,-4.93,-5.60,0.20,-0.03,-0.10
2024-10-30 14:56:54,-1.15,-4.89,-5.47,0.20,0.00,-0.07
2024-10-30 14:56:54,-1.41,-4.73,-5.57,0.10,0.03,-0.03
2024-10-30 14:56:54,-1.65,-4.96,-5.68,0.00,0.00,-0.00
2024-10-30 14:56:54,-1.59,-5.09,-5.65,0.00,0.00,-0.00
2024-10-30 14:56:54,-1.41,-5.25,-5.65,0.00,-0.03,-0.03
2024-10-30 14:56:54,-1.46,-5.34,-5.81,0.03,0.00,-0.07
2024-10-30 14:56:54,-1.71,-5.22,-5.98,0.07,0.07,-0.03
2024-10-30 14:56:54,-1.93,-5.11,-6.14,0.10,0.03,-0.00
2024-10-30 14:56:54,-1.75,-5.05,-6.35,0.07,0.00,-0.00
2024-10-30 14:56:54,-1.79,-5.16,-6.56,0.07,-0.03,-0.03
2024-10-30 14:56:54,-1.60,-5.09,-6.36,0.10,-0.07,-0.00
2024-10-30 14:56:54,-1.65,-5.10,-6.43,0.13,-0.07,-0.03
2024-10-30 14:56:54,-1.57,-4.87,-6.31,0.20,-0.07,-0.00
2024-10-30 14:56:54,-1.37,-4.47,-5.92,0.17,-0.03,-0.07
2024-10-30 14:56:54,-1.37,-4.31,-5.85,0.20,-0.03,-0.07
2024-10-30 14:56:54,-1.44,-4.29,-5.85,0.13,-0.03,-0.07
2024-10-30 14:56:54,-1.55,-4.25,-5.80,0.07,-0.03,-0.00
2024-10-30 14:56:54,-1.62,-4.38,-5.70,0.03,-0.10,-0.00
2024-10-30 14:56:54,-1.22,-4.32,-5.38,0.03,-0.13,-0.00
2024-10-30 14:56:54,-1.10,-4.30,-5.36,0.03,-0.10,-0.07
2024-10-30 14:56:54,-1.29,-4.30,-5.28,0.07,-0.03,-0.07
2024-10-30 14:56:54,-1.32,-4.13,-5.26,0.07,-0.03,-0.03
2024-10-30 14:56:54,-1.22,-3.93,-5.22,0.07,-0.03,-0.00
2024-10-30 14:56:54,-1.27,-3.78,-5.37,0.03,0.00,-0.00
2024-10-30 14:56:54,-1.14,-3.63,-5.33,0.00,0.00,-0.00
2024-10-30 14:56:54,-1.21,-3.49,-5.49,0.03,0.03,-0.00
2024-10-30 14:56:54,-1.35,-3.26,-5.60,0.07,0.07,0.03
2024-10-30 14:56:54,-1.36,-2.92,-5.82,0.10,0.07,-0.00
2024-10-30 14:56:54,-1.40,-2.68,-5.85,0.13,0.03,-0.00
2024-10-30 14:56:54,-1.42,-2.46,-5.74,0.13,0.03,-0.03
2024-10-30 14:56:54,-1.38,-2.25,-5.64,0.10,0.00,-0.03
2024-10-30 14:56:54,-1.39,-2.19,-5.72,0.03,0.00,-0.00
2024-10-30 14:56:54,-1.44,-2.03,-5.79,0.00,0.00,-0.00
2024-10-30 14:56:54,-1.41,-2.18,-5.72,0.00,-0.07,-0.00
2024-10-30 14:56:54,-1.14,-2.19,-5.64,0.03,-0.10,-0.03
2024-10-30 14:56:54,-1.17,-2.02,-5.66,0.07,-0.03,-0.07
2024-10-30 14:56:54,-1.34,-1.85,-5.57,0.07,-0.03,-0.03
2024-10-30 14:56:54,-1.27,-1.82,-5.47,0.03,-0.10,-0.00
2024-10-30 14:56:54,-1.01,-1.72,-5.53,0.00,-0.10,-0.00
2024-10-30 14:56:54,-0.91,-1.66,-5.40,0.03,-0.07,-0.00
2024-10-30 14:56:54,-0.98,-1.53,-5.40,0.10,0.00,-0.03
2024-10-30 14:56:54,-1.15,-1.41,-5.20,0.13,0.00,-0.07
2024-10-30 14:56:54,-1.17,-1.35,-5.04,0.13,-0.07,-0.10
2024-10-30 14:56:54,-0.87,-1.09,-4.84,0.10,-0.07,-0.07
2024-10-30 14:56:55,-1.12,-1.22,-4.85,0.00,0.00,-0.07
2024-10-30 14:56:55,-1.06,-1.28,-4.75,-0.07,0.00,-0.00
2024-10-30 14:56:55,-1.20,-1.35,-5.16,-0.17,0.00,-0.00
2024-10-30 14:56:55,-1.41,-1.75,-5.17,-0.20,0.00,0.03
2024-10-30 14:56:55,-1.37,-2.07,-5.43,-0.17,-0.03,-0.00
2024-10-30 14:56:55,-1.24,-2.10,-5.32,0.07,-0.07,-0.00
2024-10-30 14:56:55,-0.96,-1.80,-5.01,0.20,-0.07,-0.00
2024-10-30 14:56:55,-0.87,-1.48,-4.91,0.23,0.00,-0.00
2024-10-30 14:56:55,-1.17,-1.53,-4.87,0.20,0.03,-0.00
2024-10-30 14:56:55,-1.13,-1.46,-4.73,0.17,0.00,-0.00
2024-10-30 14:56:55,-0.96,-1.36,-4.72,0.10,-0.03,-0.00
2024-10-30 14:56:55,-1.09,-1.58,-4.68,0.00,0.00,-0.00
2024-10-30 14:56:55,-1.06,-1.87,-4.55,-0.03,-0.03,-0.00
2024-10-30 14:56:55,-1.01,-2.01,-4.72,0.00,-0.03,-0.03
2024-10-30 14:56:55,-0.99,-2.01,-4.58,0.07,0.00,-0.03
2024-10-30 14:56:55,-0.96,-1.65,-4.76,0.13,0.00,-0.07
2024-10-30 14:56:55,-1.08,-1.55,-4.81,0.13,0.03,-0.07
2024-10-30 14:56:55,-1.14,-1.50,-4.91,0.03,0.07,-0.00
2024-10-30 14:56:55,-1.35,-1.71,-5.16,0.00,0.07,-0.00
2024-10-30 14:56:55,-1.34,-1.64,-5.22,0.00,0.07,-0.00
2024-10-30 14:56:55,-1.52,-1.67,-5.42,0.00,0.07,-0.00
2024-10-30 14:56:55,-1.64,-1.69,-5.46,0.03,0.07,-0.00
2024-10-30 14:56:55,-1.67,-1.54,-5.50,0.03,0.03,-0.00
2024-10-30 14:56:55,-1.66,-1.48,-5.49,0.03,0.00,-0.00
2024-10-30 14:56:55,-1.66,-1.47,-5.45,0.03,-0.03,-0.00
2024-10-30 14:56:55,-1.47,-1.50,-5.31,0.03,-0.10,-0.00
2024-10-30 14:56:55,-1.13,-1.42,-5.06,0.07,-0.10,-0.00
2024-10-30 14:56:55,-1.08,-1.42,-4.95,0.03,-0.07,-0.00
