timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 17:26:01,-1.22,-8.07,0.20,0.03,-0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.16,-8.04,0.20,0.00,-0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.15,-8.06,0.14,0.00,0.00,-0.00,in movimento
2024-11-06 17:26:01,-1.19,-8.16,0.14,0.03,0.07,-0.00,in movimento
2024-11-06 17:26:01,-1.29,-7.97,0.12,0.03,0.07,-0.00,in movimento
2024-11-06 17:26:01,-1.52,-7.81,0.08,0.03,0.03,0.03,in movimento
2024-11-06 17:26:01,-2.08,-7.47,0.08,0.03,0.03,0.03,in movimento
2024-11-06 17:26:01,-2.02,-7.09,0.14,0.10,0.07,0.03,in movimento
2024-11-06 17:26:01,-1.87,-6.77,0.24,0.10,0.07,-0.00,in movimento
2024-11-06 17:26:01,-1.68,-6.51,0.27,0.07,0.00,-0.00,in movimento
2024-11-06 17:26:01,-1.58,-6.34,0.21,0.07,-0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.61,-6.28,0.24,0.10,0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.71,-6.33,0.27,0.10,0.07,-0.00,in movimento
2024-11-06 17:26:01,-1.55,-6.14,0.28,0.10,0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.46,-6.15,0.30,0.03,-0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.34,-6.19,0.26,0.03,-0.10,-0.00,in movimento
2024-11-06 17:26:01,-1.31,-6.09,0.31,0.07,-0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.41,-6.02,0.26,0.10,0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.59,-5.74,0.13,0.03,0.03,-0.00,in movimento
2024-11-06 17:26:01,-1.45,-5.64,0.18,0.00,0.00,-0.00,in movimento
2024-11-06 17:26:01,-1.34,-5.45,0.04,0.00,-0.07,-0.00,in movimento
2024-11-06 17:26:01,-1.34,-5.50,0.20,0.03,-0.10,-0.00,in movimento
2024-11-06 17:26:01,-1.28,-4.97,0.51,0.07,-0.10,-0.00,in movimento
2024-11-06 17:26:01,-1.88,-3.86,1.59,0.00,-0.17,0.13,in movimento
2024-11-06 17:26:01,-2.83,-3.13,4.00,-0.50,-0.20,0.07,in movimento
2024-11-06 17:26:01,-3.21,-2.47,5.75,-1.27,-0.20,-0.17,in movimento
2024-11-06 17:26:01,-3.24,-3.30,6.94,-1.93,-0.27,-0.10,in movimento
2024-11-06 17:26:01,-2.74,-3.37,7.02,-1.87,-0.30,-0.10,in movimento
2024-11-06 17:26:01,-2.28,-1.41,8.45,-2.30,0.23,0.10,in movimento
2024-11-06 17:26:01,-2.60,-2.94,9.82,-3.33,0.20,0.27,in movimento
2024-11-06 17:26:01,-2.86,-2.84,9.77,-3.80,0.60,0.63,in movimento
2024-11-06 17:26:02,-2.94,-1.68,8.10,-4.03,0.90,0.47,in movimento
2024-11-06 17:26:02,-3.89,-1.61,5.23,-4.43,0.87,0.33,in movimento
2024-11-06 17:26:02,-4.37,-1.18,3.95,-4.60,0.23,0.53,in movimento
2024-11-06 17:26:02,-4.22,-1.38,4.29,-4.27,-0.43,0.17,in movimento
2024-11-06 17:26:02,-3.67,-2.08,2.25,-3.93,-0.40,-0.33,in movimento
2024-11-06 17:26:02,-4.61,-1.91,2.15,-3.33,-0.57,-0.93,in movimento
2024-11-06 17:26:02,-3.73,-2.99,2.48,-2.77,-1.67,-1.43,in movimento
2024-11-06 17:26:02,-1.47,-4.33,2.45,-2.13,-1.80,-1.63,in movimento
2024-11-06 17:26:02,-1.04,-5.34,1.60,-1.77,-0.57,-1.93,in movimento
2024-11-06 17:26:02,-3.22,-6.09,1.23,-2.50,0.10,-1.53,in movimento
2024-11-06 17:26:02,-2.71,-7.29,-0.14,-2.87,0.00,-0.93,in movimento
2024-11-06 17:26:02,-2.81,-6.92,-2.18,-2.90,0.20,-0.53,in movimento
2024-11-06 17:26:02,-4.32,-6.97,-3.11,-3.10,0.50,-0.47,in movimento
2024-11-06 17:26:02,-5.53,-6.92,-4.19,-3.20,0.57,-0.30,in movimento
2024-11-06 17:26:02,-7.56,-6.79,-4.69,-2.83,0.67,-0.07,in movimento
2024-11-06 17:26:02,-8.21,-6.03,-2.31,-2.43,0.23,-0.03,in movimento
2024-11-06 17:26:02,-7.70,-5.71,-1.67,-2.13,-0.03,-0.23,in movimento
2024-11-06 17:26:02,Stop,,,,,,
2024-11-06 17:26:03,-8.41,-5.32,-1.48,-1.83,0.20,-0.17,in movimento
2024-11-06 17:26:03,Start,,,,,,
2024-11-06 17:26:03,-9.65,-4.62,-1.00,-1.67,0.10,-0.10,in movimento
2024-11-06 17:26:03,-8.96,-4.97,-1.13,-1.50,-0.03,-0.03,in movimento
2024-11-06 17:26:03,-8.71,-4.11,-0.30,-0.83,0.27,0.03,in movimento
2024-11-06 17:26:03,-9.65,-3.25,-0.89,-0.70,0.20,0.10,in movimento
2024-11-06 17:26:03,-9.10,-2.85,-0.32,-0.83,-0.17,0.13,in movimento
2024-11-06 17:26:03,-8.32,-3.06,-0.10,-0.67,-0.10,0.13,in movimento
2024-11-06 17:26:03,-8.40,-2.50,-0.01,-0.20,0.07,0.13,in movimento
2024-11-06 17:26:03,-8.43,-1.45,-0.06,0.00,0.00,-0.00,in movimento
2024-11-06 17:26:03,-8.20,-1.42,-0.23,-0.07,-0.13,-0.17,in movimento
2024-11-06 17:26:03,-7.66,-1.10,-0.16,-0.03,-0.17,-0.13,in movimento
2024-11-06 17:26:03,-6.88,-1.03,-0.19,0.10,-0.07,-0.10,in movimento
2024-11-06 17:26:03,-7.14,-1.03,-0.23,0.27,0.00,-0.07,in movimento
2024-11-06 17:26:03,-7.64,-0.66,-0.20,0.27,-0.13,-0.03,in movimento
2024-11-06 17:26:03,-8.14,-0.13,-0.08,0.13,-0.40,-0.07,in movimento
2024-11-06 17:26:03,-7.02,-0.35,-0.12,-0.07,-0.13,-0.13,in movimento
2024-11-06 17:26:03,-7.29,-0.18,-0.09,0.20,0.13,-0.20,in movimento
2024-11-06 17:26:03,-6.80,-0.66,-0.17,0.27,-0.17,-0.30,in movimento
2024-11-06 17:26:03,-6.95,-0.90,-0.24,0.47,-0.40,-0.07,in movimento
2024-11-06 17:26:03,-6.34,-0.95,-0.25,0.33,-0.50,0.07,in movimento
2024-11-06 17:26:03,-5.80,-1.56,-0.42,0.17,0.00,0.17,in movimento
2024-11-06 17:26:03,-6.71,-1.64,-0.45,0.20,0.40,0.17,in movimento
2024-11-06 17:26:03,-7.00,-2.19,-0.44,0.30,0.17,0.20,in movimento
2024-11-06 17:26:03,-7.09,-3.17,-0.50,0.80,-0.03,0.20,in movimento
