timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 17:24:24,1.24,-2.83,0.20,0.03,0.00,-0.00,in movimento
2024-11-06 17:24:24,1.15,-3.13,0.25,0.03,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.99,-2.71,0.33,0.03,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.70,-2.58,0.20,0.00,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.68,-2.45,0.06,0.00,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.60,-2.27,0.08,0.00,0.03,-0.00,in movimento
2024-11-06 17:24:24,0.51,-2.02,0.05,0.03,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.51,-1.92,0.06,0.00,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.37,-1.83,0.11,0.00,-0.03,-0.03,in movimento
2024-11-06 17:24:24,0.48,-1.65,0.28,0.07,-0.03,-0.03,in movimento
2024-11-06 17:24:24,0.46,-1.54,0.32,0.03,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.47,-1.49,0.25,0.03,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.36,-1.57,0.23,0.00,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.39,-1.58,0.20,0.03,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.49,-1.61,0.32,0.03,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.53,-1.62,0.24,0.00,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.41,-1.32,0.24,0.03,0.03,-0.00,in movimento
2024-11-06 17:24:24,0.32,-1.25,0.19,0.03,0.03,-0.00,in movimento
2024-11-06 17:24:24,0.29,-1.35,0.22,0.00,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.45,-1.37,0.18,0.00,-0.03,-0.03,in movimento
2024-11-06 17:24:24,0.44,-1.41,0.13,0.03,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.39,-1.20,0.08,0.03,0.07,-0.00,in movimento
2024-11-06 17:24:24,0.28,-1.19,0.00,0.03,0.03,-0.00,in movimento
2024-11-06 17:24:24,0.47,-1.14,-0.12,0.07,-0.03,-0.03,in movimento
2024-11-06 17:24:24,0.56,-1.21,-0.24,0.10,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.56,-1.21,-0.24,0.10,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.40,-1.21,-0.49,0.13,0.03,-0.00,in movimento
2024-11-06 17:24:24,0.11,-0.96,-0.64,0.17,0.00,-0.00,in movimento
2024-11-06 17:24:24,0.17,-0.90,-0.87,0.20,0.00,-0.03,in movimento
2024-11-06 17:24:24,0.19,-1.03,-0.99,0.27,0.00,-0.07,in movimento
2024-11-06 17:24:24,0.23,-1.02,-1.05,0.37,0.03,-0.07,in movimento
2024-11-06 17:24:24,0.28,-0.96,-0.96,0.37,-0.03,-0.07,in movimento
2024-11-06 17:24:24,0.29,-1.00,-0.85,0.37,-0.10,-0.07,in movimento
2024-11-06 17:24:24,0.31,-1.14,-0.52,0.43,-0.13,-0.07,in movimento
2024-11-06 17:24:24,0.33,-1.31,-0.15,0.50,-0.13,-0.03,in movimento
2024-11-06 17:24:24,0.32,-1.38,0.10,0.50,-0.13,-0.00,in movimento
2024-11-06 17:24:24,0.05,-1.06,0.06,0.43,-0.07,-0.07,in movimento
2024-11-06 17:24:24,0.05,-0.89,0.06,0.43,-0.07,-0.07,in movimento
2024-11-06 17:24:24,-0.02,-0.97,0.10,0.47,-0.03,-0.07,in movimento
2024-11-06 17:24:24,0.10,-0.83,0.22,0.53,-0.07,-0.07,in movimento
2024-11-06 17:24:24,0.17,-0.95,0.29,0.50,-0.07,-0.07,in movimento
2024-11-06 17:24:24,0.11,-1.03,0.35,0.47,-0.13,-0.07,in movimento
2024-11-06 17:24:24,0.22,-1.07,0.40,0.47,-0.17,-0.07,in movimento
2024-11-06 17:24:24,0.05,-0.87,0.51,0.43,-0.10,-0.03,in movimento
2024-11-06 17:24:25,0.14,-0.89,0.44,0.47,-0.03,-0.03,in movimento
2024-11-06 17:24:25,0.23,-0.94,0.42,0.47,-0.07,-0.03,in movimento
2024-11-06 17:24:25,0.38,-1.12,0.54,0.40,-0.23,-0.03,in movimento
2024-11-06 17:24:25,0.33,-0.92,0.56,0.40,-0.23,-0.00,in movimento
2024-11-06 17:24:25,0.17,-0.81,0.51,0.40,-0.07,-0.00,in movimento
2024-11-06 17:24:25,-0.05,-0.90,0.41,0.43,0.00,-0.00,in movimento
2024-11-06 17:24:25,0.02,-0.89,0.25,0.37,-0.03,-0.03,in movimento
2024-11-06 17:24:25,0.22,-1.02,0.10,0.33,-0.13,-0.00,in movimento
2024-11-06 17:24:25,0.25,-1.10,0.04,0.37,-0.10,-0.00,in movimento
2024-11-06 17:24:25,0.02,-1.07,0.21,0.40,-0.03,-0.00,in movimento
2024-11-06 17:24:25,-0.09,-0.85,0.19,0.40,-0.03,-0.00,in movimento
2024-11-06 17:24:25,0.02,-1.02,0.11,0.37,-0.07,-0.00,in movimento
2024-11-06 17:24:25,0.35,-1.00,0.08,0.37,-0.10,-0.00,in movimento
2024-11-06 17:24:25,0.27,-1.01,0.12,0.40,-0.10,0.03,in movimento
2024-11-06 17:24:25,0.08,-0.78,0.08,0.43,-0.07,0.07,in movimento
2024-11-06 17:24:25,-0.14,-0.73,0.09,0.43,-0.03,0.03,in movimento
2024-11-06 17:24:25,-0.21,-0.57,0.06,0.43,0.00,-0.00,in movimento
2024-11-06 17:24:25,-0.04,-0.48,-0.10,0.40,0.00,-0.00,in movimento
2024-11-06 17:24:25,0.03,-0.84,-0.10,0.47,-0.07,-0.00,in movimento
2024-11-06 17:24:25,-0.08,-0.73,0.06,0.50,-0.13,-0.00,in movimento
2024-11-06 17:24:25,-0.13,-0.81,0.18,0.47,-0.13,-0.00,in movimento
2024-11-06 17:24:25,-0.07,-0.76,0.19,0.47,-0.10,-0.00,in movimento
2024-11-06 17:24:25,-0.06,-0.85,0.05,0.47,-0.03,-0.00,in movimento
2024-11-06 17:24:25,0.14,-0.87,-0.50,0.63,0.00,-0.00,in movimento
2024-11-06 17:24:25,0.18,-0.61,-0.68,0.70,0.00,-0.00,in movimento
2024-11-06 17:24:25,0.06,-0.50,-1.01,0.73,-0.07,-0.00,in movimento
