timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 17:22:44,-1.22,-5.66,0.13,0.07,0.00,-0.03,in movimento
2024-11-06 17:22:44,-1.15,-5.73,0.15,0.10,0.03,-0.03,in movimento
2024-11-06 17:22:44,-1.15,-5.52,0.37,0.07,-0.10,-0.00,in movimento
2024-11-06 17:22:44,-1.37,-5.34,0.38,0.07,0.00,-0.00,in movimento
2024-11-06 17:22:44,-1.61,-5.38,0.45,0.10,0.10,-0.00,in movimento
2024-11-06 17:22:44,-1.89,-5.27,0.60,0.10,0.10,-0.03,in movimento
2024-11-06 17:22:44,-1.68,-5.14,0.69,0.07,0.00,-0.07,in movimento
2024-11-06 17:22:44,-1.51,-5.14,0.48,0.00,0.00,-0.03,in movimento
2024-11-06 17:22:44,-1.32,-5.25,0.32,0.03,0.10,-0.03,in movimento
2024-11-06 17:22:44,-1.35,-5.08,0.22,0.03,0.10,-0.00,in movimento
2024-11-06 17:22:44,-1.49,-5.06,0.17,0.00,0.00,-0.00,in movimento
2024-11-06 17:22:44,-1.67,-5.12,0.34,0.00,-0.13,0.03,in movimento
2024-11-06 17:22:44,-1.56,-5.01,0.43,0.03,0.00,-0.00,in movimento
2024-11-06 17:22:44,-1.51,-4.84,0.41,0.03,0.07,-0.03,in movimento
2024-11-06 17:22:44,-1.39,-4.52,0.22,0.00,0.07,-0.00,in movimento
2024-11-06 17:22:44,-1.32,-4.56,0.32,0.00,0.00,-0.00,in movimento
2024-11-06 17:22:44,-1.31,-4.57,0.63,0.00,-0.10,-0.00,in movimento
2024-11-06 17:22:44,-1.31,-4.69,0.76,0.00,-0.10,0.03,in movimento
2024-11-06 17:22:44,-1.66,-4.56,0.80,0.00,0.00,0.07,in movimento
2024-11-06 17:22:44,-1.82,-4.34,0.69,-0.07,0.03,-0.00,in movimento
2024-11-06 17:22:44,-1.75,-4.38,0.76,-0.13,0.00,-0.00,in movimento
2024-11-06 17:22:44,-1.33,-4.64,2.02,-0.10,-0.10,-0.03,in movimento
2024-11-06 17:22:44,-1.24,-4.62,2.59,-0.13,-0.17,-0.03,in movimento
2024-11-06 17:22:44,-1.70,-4.67,4.27,-0.27,-0.23,0.07,in movimento
2024-11-06 17:22:44,-1.79,-4.07,5.31,-0.50,-0.23,0.07,in movimento
2024-11-06 17:22:44,-1.94,-3.85,5.32,-0.93,0.03,-0.00,in movimento
2024-11-06 17:22:44,-2.38,-3.28,4.33,-1.13,0.67,-0.03,in movimento
2024-11-06 17:22:44,-1.97,-3.32,3.79,-1.23,0.63,-0.10,in movimento
2024-11-06 17:22:44,-1.65,-3.49,3.61,-1.37,0.33,-0.07,in movimento
2024-11-06 17:22:44,-1.72,-3.35,3.53,-1.50,0.13,0.03,in movimento
2024-11-06 17:22:44,-1.68,-3.17,3.61,-1.60,0.13,0.03,in movimento
2024-11-06 17:22:44,-1.83,-3.49,3.36,-1.83,0.27,0.10,in movimento
2024-11-06 17:22:44,-2.10,-3.54,2.78,-1.97,0.37,0.13,in movimento
2024-11-06 17:22:44,-2.44,-3.39,2.13,-2.03,0.43,0.13,in movimento
2024-11-06 17:22:44,-2.55,-3.49,1.49,-2.13,0.40,0.10,in movimento
2024-11-06 17:22:44,-2.44,-3.87,1.00,-2.23,0.30,0.07,in movimento
2024-11-06 17:22:44,-2.32,-4.06,0.46,-2.27,0.33,0.13,in movimento
2024-11-06 17:22:44,-2.53,-3.95,0.04,-2.23,0.43,0.17,in movimento
2024-11-06 17:22:44,-2.41,-3.94,-0.18,-2.30,0.47,0.17,in movimento
2024-11-06 17:22:45,-2.58,-4.31,-0.49,-2.43,0.40,0.23,in movimento
2024-11-06 17:22:45,-2.82,-4.33,-0.70,-2.40,0.40,0.27,in movimento
2024-11-06 17:22:45,-2.88,-3.95,-0.99,-2.33,0.47,0.30,in movimento
2024-11-06 17:22:45,-3.02,-3.81,-1.49,-2.40,0.53,0.30,in movimento
2024-11-06 17:22:45,-3.53,-3.83,-1.44,-2.37,0.40,0.33,in movimento
2024-11-06 17:22:45,-3.89,-3.13,-0.90,-2.37,0.20,0.33,in movimento
2024-11-06 17:22:45,-4.04,-3.24,-0.90,-2.37,0.20,0.33,in movimento
2024-11-06 17:22:45,-4.04,-3.14,-1.06,-2.40,0.47,0.23,in movimento
2024-11-06 17:22:45,-3.95,-2.87,-1.18,-2.33,0.50,0.20,in movimento
2024-11-06 17:22:45,-4.34,-2.93,-1.24,-2.33,0.50,0.20,in movimento
2024-11-06 17:22:45,-4.75,-2.79,-1.42,-2.37,0.53,0.23,in movimento
2024-11-06 17:22:45,-5.65,-2.38,-1.29,-2.13,0.63,0.30,in movimento
2024-11-06 17:22:45,-6.60,-2.13,-1.06,-1.87,0.43,0.27,in movimento
2024-11-06 17:22:45,-7.13,-1.53,-0.68,-1.60,0.10,0.17,in movimento
2024-11-06 17:22:45,Stop,,,,,,
2024-11-06 17:22:46,Start,,,,,,
2024-11-06 17:22:46,-7.24,-0.93,-0.35,-1.57,0.03,0.13,in movimento
2024-11-06 17:22:46,-7.93,-1.17,-0.23,-1.60,0.27,0.17,in movimento
2024-11-06 17:22:46,-8.11,-1.26,-0.20,-1.17,0.30,0.13,in movimento
2024-11-06 17:22:46,-8.22,-1.15,-0.20,-1.00,0.20,0.13,in movimento
2024-11-06 17:22:46,-7.96,-1.01,-0.20,-0.80,0.00,0.17,in movimento
2024-11-06 17:22:46,-8.37,-1.09,-0.23,-0.73,-0.07,0.20,in movimento
2024-11-06 17:22:46,-8.64,-1.14,-0.29,-0.63,0.03,0.20,in movimento
2024-11-06 17:22:46,-8.65,-0.82,-0.22,-0.50,0.13,0.17,in movimento
2024-11-06 17:22:46,-8.70,-0.67,-0.16,-0.50,0.27,0.13,in movimento
2024-11-06 17:22:46,-9.04,-0.88,-0.14,-0.30,0.23,0.13,in movimento
2024-11-06 17:22:46,-9.19,-0.72,-0.17,0.00,-0.03,0.07,in movimento
2024-11-06 17:22:46,-9.14,-0.43,-0.15,0.17,-0.30,0.03,in movimento
2024-11-06 17:22:46,-9.09,-0.30,-0.12,0.20,-0.30,0.03,in movimento
2024-11-06 17:22:46,-9.17,-0.26,-0.11,0.13,-0.03,0.03,in movimento
2024-11-06 17:22:46,-9.29,-0.16,-0.09,0.10,0.17,-0.00,in movimento
2024-11-06 17:22:46,-9.29,-0.10,-0.07,0.17,0.13,-0.00,in movimento
2024-11-06 17:22:46,-9.33,-0.12,-0.07,0.20,0.03,-0.00,in movimento
2024-11-06 17:22:46,-9.13,-0.21,-0.09,0.27,-0.07,-0.03,in movimento
2024-11-06 17:22:46,-9.03,-0.33,-0.09,0.30,-0.13,-0.03,in movimento
2024-11-06 17:22:46,-8.86,-0.09,0.02,0.37,-0.10,-0.03,in movimento
2024-11-06 17:22:46,-8.80,0.03,0.09,0.33,0.00,-0.03,in movimento
2024-11-06 17:22:46,-8.51,-0.09,0.05,0.20,0.03,-0.07,in movimento
2024-11-06 17:22:46,-8.55,-0.08,0.05,0.27,0.03,-0.03,in movimento
2024-11-06 17:22:46,-8.51,0.03,0.11,0.30,0.00,-0.03,in movimento
2024-11-06 17:22:46,-8.30,0.10,0.14,0.27,-0.03,-0.03,in movimento
2024-11-06 17:22:46,-8.25,0.15,0.15,0.23,0.00,-0.00,in movimento
2024-11-06 17:22:46,-8.40,0.12,0.14,0.20,0.03,-0.00,in movimento
2024-11-06 17:22:46,-8.36,0.17,0.14,0.20,0.00,-0.03,in movimento
2024-11-06 17:22:46,-8.10,0.05,0.08,0.20,0.00,-0.03,in movimento
2024-11-06 17:22:46,-7.84,-0.14,-0.01,0.20,0.03,-0.03,in movimento
2024-11-06 17:22:46,-7.82,-0.57,-0.18,0.20,0.10,-0.00,in movimento
2024-11-06 17:22:46,-7.86,-0.75,-0.25,0.23,0.13,-0.00,in movimento
2024-11-06 17:22:46,-8.04,-0.85,-0.26,0.27,0.10,-0.00,in movimento
2024-11-06 17:22:46,-8.29,-1.40,-0.24,0.40,0.17,-0.03,in movimento
2024-11-06 17:22:46,-8.63,-1.73,-0.12,0.63,0.27,-0.07,in movimento
2024-11-06 17:22:46,-8.89,-1.70,-0.65,1.03,0.23,-0.07,in movimento
2024-11-06 17:22:46,-8.83,-1.80,-0.98,1.60,0.10,-0.17,in movimento
2024-11-06 17:22:46,-8.27,-2.55,-0.58,1.97,-0.13,-0.40,in movimento
2024-11-06 17:22:46,-6.52,-3.56,-1.37,2.00,-0.30,-0.67,in movimento
2024-11-06 17:22:46,-4.39,-4.98,-3.25,1.97,-0.20,-0.80,in movimento
2024-11-06 17:22:46,-4.15,-6.42,-2.81,2.27,-0.03,-0.47,in movimento
2024-11-06 17:22:46,-5.93,-6.48,-3.83,2.93,-0.10,-0.10,in movimento
