timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 17:20:40,1.24,-4.77,0.21,0.07,0.00,-0.00,in movimento
2024-11-06 17:20:40,1.14,-4.79,0.32,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,1.21,-4.69,0.28,0.00,-0.03,-0.03,in movimento
2024-11-06 17:20:41,0.96,-4.43,0.29,0.00,-0.03,-0.03,in movimento
2024-11-06 17:20:41,0.81,-4.40,0.23,0.00,0.00,-0.03,in movimento
2024-11-06 17:20:41,0.78,-4.48,0.17,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.69,-4.27,0.20,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.67,-3.95,0.23,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.63,-3.95,0.22,0.00,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.67,-3.90,0.19,0.00,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.76,-3.95,0.21,0.00,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.73,-3.80,0.26,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.69,-3.73,0.34,0.07,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.41,-3.50,0.22,0.00,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.45,-3.50,0.02,0.00,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.45,-3.41,0.04,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.39,-3.21,0.15,0.07,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.45,-2.78,0.25,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:41,0.67,-2.77,0.28,0.00,0.00,-0.03,in movimento
2024-11-06 17:20:41,1.16,-2.36,0.26,0.03,0.03,-0.00,in movimento
2024-11-06 17:20:41,2.06,-2.10,0.49,0.03,0.00,-0.03,in movimento
2024-11-06 17:20:41,2.70,-2.50,1.01,0.00,-0.13,0.03,in movimento
2024-11-06 17:20:41,3.29,-3.18,2.02,-0.03,-0.17,0.20,in movimento
2024-11-06 17:20:41,3.31,-3.32,2.49,-0.17,-0.07,0.47,in movimento
2024-11-06 17:20:41,3.72,-3.64,2.34,-0.30,0.10,0.67,in movimento
2024-11-06 17:20:41,5.29,-4.02,2.52,-0.33,0.07,0.90,in movimento
2024-11-06 17:20:41,6.36,-4.60,2.59,-0.30,0.07,1.23,in movimento
2024-11-06 17:20:41,5.77,-4.64,2.17,-0.27,0.07,1.83,in movimento
2024-11-06 17:20:41,4.81,-4.41,1.53,-0.20,0.13,2.40,in movimento
2024-11-06 17:20:41,3.97,-4.58,1.27,-0.27,0.03,2.63,in movimento
2024-11-06 17:20:41,3.15,-4.66,1.19,-0.43,-0.27,2.63,in movimento
2024-11-06 17:20:41,1.75,-4.62,0.91,-0.47,-0.37,2.87,in movimento
2024-11-06 17:20:41,0.02,-3.62,0.61,-0.10,0.03,3.17,in movimento
2024-11-06 17:20:41,-0.59,-2.83,0.50,0.23,0.70,3.10,in movimento
2024-11-06 17:20:41,-0.27,-2.84,0.31,0.23,0.90,2.97,in movimento
2024-11-06 17:20:41,-0.25,-3.39,0.06,-0.10,0.37,2.97,in movimento
2024-11-06 17:20:41,-1.02,-3.97,-0.17,-0.40,-0.80,3.20,in movimento
2024-11-06 17:20:41,-2.20,-4.32,0.60,0.03,-0.67,3.43,in movimento
2024-11-06 17:20:41,-2.64,-4.06,1.60,0.77,0.03,3.60,in movimento
2024-11-06 17:20:41,-2.19,-3.29,2.07,0.93,0.63,3.47,in movimento
2024-11-06 17:20:41,-1.91,-2.88,1.82,0.30,0.47,3.37,in movimento
2024-11-06 17:20:41,-2.02,-3.29,0.92,-0.33,-0.17,3.20,in movimento
2024-11-06 17:20:41,-1.76,-4.57,0.84,-0.30,-0.33,3.10,in movimento
2024-11-06 17:20:41,-2.13,-4.38,1.24,0.20,0.00,3.30,in movimento
2024-11-06 17:20:41,-1.89,-3.38,1.26,0.50,0.23,3.27,in movimento
2024-11-06 17:20:41,-1.75,-3.09,1.07,0.20,0.13,3.10,in movimento
2024-11-06 17:20:41,-2.08,-3.36,0.71,-0.13,-0.10,2.93,in movimento
2024-11-06 17:20:41,-2.51,-3.97,0.74,-0.13,-0.30,2.87,in movimento
2024-11-06 17:20:41,-2.45,-3.64,0.73,0.30,-0.03,2.83,in movimento
2024-11-06 17:20:41,-2.56,-2.73,0.67,0.47,0.23,2.63,in movimento
2024-11-06 17:20:41,-2.94,-2.02,0.60,0.30,0.30,2.10,in movimento
2024-11-06 17:20:42,-2.94,-1.92,0.28,-0.03,0.17,1.63,in movimento
2024-11-06 17:20:42,-3.19,-1.75,-0.24,-0.27,0.00,1.47,in movimento
2024-11-06 17:20:42,-3.13,-1.61,-0.77,-0.17,0.10,1.33,in movimento
2024-11-06 17:20:42,-2.72,-1.65,-1.17,0.00,0.20,1.07,in movimento
2024-11-06 17:20:42,-2.16,-1.44,-1.24,0.00,0.13,1.07,in movimento
2024-11-06 17:20:42,-1.59,-1.49,-1.16,-0.10,0.00,1.03,in movimento
2024-11-06 17:20:42,-1.75,-1.64,-0.79,-0.13,-0.10,0.93,in movimento
2024-11-06 17:20:42,-2.10,-1.56,-0.73,0.00,0.13,0.90,in movimento
2024-11-06 17:20:42,-2.47,-1.16,-0.71,0.17,0.47,0.87,in movimento
2024-11-06 17:20:42,-2.92,-0.71,-0.55,0.17,0.23,0.67,in movimento
2024-11-06 17:20:42,-3.19,-0.73,-0.15,0.03,-0.10,0.47,in movimento
2024-11-06 17:20:42,Stop,,,,,,
2024-11-06 17:20:43,Start,,,,,,
2024-11-06 17:20:43,-3.06,-0.80,0.01,0.03,-0.30,0.17,in movimento
2024-11-06 17:20:43,-2.74,-0.96,-0.04,0.07,-0.23,-0.03,in movimento
2024-11-06 17:20:43,-2.01,-1.45,0.08,0.03,-0.13,-0.07,in movimento
2024-11-06 17:20:43,-1.72,-1.80,0.40,0.03,0.00,-0.00,in movimento
2024-11-06 17:20:43,-1.39,-1.90,0.60,0.03,0.03,-0.00,in movimento
2024-11-06 17:20:43,-1.44,-1.59,0.57,0.07,-0.03,-0.10,in movimento
2024-11-06 17:20:43,-1.29,-1.58,0.49,0.07,-0.13,-0.20,in movimento
2024-11-06 17:20:43,-1.17,-1.54,0.47,0.00,-0.13,-0.13,in movimento
2024-11-06 17:20:43,-1.17,-1.36,0.40,-0.03,-0.07,-0.03,in movimento
2024-11-06 17:20:43,-1.48,-1.39,0.26,-0.10,0.00,-0.00,in movimento
2024-11-06 17:20:43,-1.60,-1.25,0.04,0.00,-0.03,-0.03,in movimento
2024-11-06 17:20:43,-1.48,-1.07,0.23,0.03,-0.07,-0.10,in movimento
2024-11-06 17:20:43,-1.50,-1.10,0.50,0.00,-0.13,-0.10,in movimento
2024-11-06 17:20:43,-1.41,-0.95,0.48,-0.07,-0.13,-0.07,in movimento
2024-11-06 17:20:43,-1.57,-1.08,0.18,-0.13,0.00,-0.03,in movimento
2024-11-06 17:20:43,-1.70,-1.05,-0.10,-0.07,0.00,-0.03,in movimento
2024-11-06 17:20:43,-1.37,-1.21,0.03,0.00,0.00,-0.07,in movimento
2024-11-06 17:20:43,-0.93,-1.14,0.31,0.03,-0.07,-0.07,in movimento
2024-11-06 17:20:43,-0.79,-1.05,0.37,0.00,-0.13,-0.03,in movimento
2024-11-06 17:20:43,-0.97,-1.13,0.18,-0.03,-0.07,-0.00,in movimento
2024-11-06 17:20:43,-1.34,-1.08,0.03,0.00,0.00,-0.00,in movimento
2024-11-06 17:20:43,-1.53,-0.94,0.04,0.07,0.00,-0.00,in movimento
2024-11-06 17:20:43,-1.48,-0.87,0.29,0.03,-0.03,-0.00,in movimento
2024-11-06 17:20:43,-1.52,-0.88,0.32,-0.03,-0.10,-0.00,in movimento
2024-11-06 17:20:43,-1.62,-1.05,0.15,0.00,-0.03,-0.03,in movimento
2024-11-06 17:20:43,-1.57,-0.95,0.11,0.07,0.00,-0.07,in movimento
2024-11-06 17:20:43,-1.83,-0.71,0.19,0.10,0.03,-0.07,in movimento
2024-11-06 17:20:43,-2.18,-0.63,0.28,0.10,0.03,-0.10,in movimento
2024-11-06 17:20:43,-2.60,-0.58,0.29,0.07,0.00,-0.23,in movimento
2024-11-06 17:20:43,-2.95,-0.71,0.44,0.00,-0.13,-0.37,in movimento
2024-11-06 17:20:43,-3.19,-0.76,0.52,-0.03,-0.17,-0.53,in movimento
2024-11-06 17:20:43,-3.06,-0.54,0.47,-0.10,-0.27,-0.73,in movimento
