timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 13:50:04,4.41,0.31,0.47,-2.87,-0.83,1.47,in attesa
2024-11-06 13:50:04,4.67,-0.24,0.29,-1.53,-1.20,-0.27,in attesa
2024-11-06 13:50:04,5.70,-0.43,0.46,0.17,-1.40,-1.60,in attesa
2024-11-06 13:50:04,6.56,-0.28,0.76,2.00,-1.33,-2.67,in attesa
2024-11-06 13:50:04,6.73,1.66,0.78,3.20,-0.97,-3.50,movimento
2024-11-06 13:50:04,6.25,6.61,0.82,3.57,-0.53,-3.20,movimento
2024-11-06 13:50:04,5.06,13.39,1.85,1.53,0.70,0.97,movimento
2024-11-06 13:50:04,4.17,12.49,2.36,-1.77,1.17,3.67,movimento
2024-11-06 13:50:04,4.13,8.54,2.26,-3.97,0.80,4.50,movimento
2024-11-06 13:50:04,4.08,5.56,1.61,-4.40,0.20,3.97,movimento
2024-11-06 13:50:04,4.07,4.09,1.24,-4.10,-0.23,2.83,movimento
2024-11-06 13:50:04,3.88,3.68,0.95,-3.97,-0.63,1.37,movimento
2024-11-06 13:50:05,3.75,3.44,0.69,-3.90,-0.90,0.23,movimento
2024-11-06 13:50:05,4.02,2.97,0.40,-3.77,-1.10,-0.53,movimento
2024-11-06 13:50:05,4.10,1.99,-0.22,-3.43,-1.17,-1.20,movimento
2024-11-06 13:50:05,3.60,1.40,-0.91,-2.80,-1.20,-1.80,movimento
2024-11-06 13:50:05,2.78,2.41,-0.58,-2.03,-1.17,-2.23,movimento
2024-11-06 13:50:05,1.98,3.66,-0.12,-2.00,-1.03,-2.53,movimento
2024-11-06 13:50:05,2.59,5.17,0.26,-2.03,-0.67,-0.93,movimento
2024-11-06 13:50:05,2.79,6.52,0.38,-2.30,-0.10,0.37,movimento
2024-11-06 13:50:05,2.17,7.13,0.44,-2.90,0.83,1.63,movimento
2024-11-06 13:50:05,0.89,6.13,0.51,-3.67,1.73,2.30,movimento
2024-11-06 13:50:05,-1.42,3.85,0.10,-4.07,1.97,1.97,movimento
2024-11-06 13:50:05,-3.60,-0.62,-1.67,-3.73,1.37,1.20,movimento
2024-11-06 13:50:05,-4.08,-1.85,-1.06,-1.63,0.33,0.17,movimento
2024-11-06 13:50:05,-4.09,0.30,-0.28,0.13,-0.53,0.03,movimento
2024-11-06 13:50:05,-3.78,0.31,-0.57,1.20,-0.93,-0.07,movimento
2024-11-06 13:50:05,-3.74,-1.20,-1.51,2.27,-1.43,-1.23,movimento
2024-11-06 13:50:05,-2.58,-1.35,-1.96,3.87,-2.00,-2.63,movimento
2024-11-06 13:50:05,-0.49,1.37,-0.49,5.37,-2.27,-3.43,movimento
2024-11-06 13:50:05,2.45,8.06,1.14,6.17,-1.30,-2.43,movimento
2024-11-06 13:50:05,3.14,16.35,0.61,4.70,1.07,0.47,movimento
2024-11-06 13:50:05,0.82,17.10,1.91,0.87,3.97,4.43,movimento
2024-11-06 13:50:05,-2.06,12.50,2.68,-2.73,4.43,5.53,movimento
2024-11-06 13:50:05,-4.33,7.46,1.39,-3.93,3.03,4.47,movimento
2024-11-06 13:50:05,-6.33,4.32,0.04,-3.73,1.27,2.70,movimento
2024-11-06 13:50:05,-7.63,2.65,-0.69,-3.47,-0.40,1.20,movimento
2024-11-06 13:50:05,-7.11,1.26,-1.59,-2.83,-2.13,0.27,movimento
2024-11-06 13:50:05,-5.18,-0.16,-2.11,-1.53,-3.47,-0.47,movimento
2024-11-06 13:50:05,-3.03,-1.52,-1.98,0.23,-4.23,-1.73,movimento
2024-11-06 13:50:05,-0.74,-0.54,-0.91,2.23,-4.30,-3.17,movimento
2024-11-06 13:50:05,1.99,2.97,0.12,3.77,-3.60,-3.67,movimento
2024-11-06 13:50:05,4.22,9.86,0.19,4.07,-0.73,-1.70,movimento
2024-11-06 13:50:05,3.27,12.46,0.34,3.07,2.30,1.87,movimento
2024-11-06 13:50:05,0.58,9.69,1.09,1.67,4.33,4.87,movimento
2024-11-06 13:50:05,-2.73,4.24,-0.00,0.60,4.37,4.30,movimento
2024-11-06 13:50:05,-4.65,-0.38,-0.79,1.43,2.90,1.43,movimento
2024-11-06 13:50:05,-5.57,-0.80,-0.24,3.20,1.20,-1.77,movimento
2024-11-06 13:50:05,-4.35,0.15,1.04,4.57,-0.60,-4.73,movimento
2024-11-06 13:50:05,-2.26,1.90,1.60,6.07,-2.20,-5.90,movimento
2024-11-06 13:50:05,0.26,4.83,2.56,7.47,-3.00,-5.70,movimento
2024-11-06 13:50:05,1.73,8.69,2.88,7.63,-2.60,-4.50,movimento
2024-11-06 13:50:05,2.03,10.11,2.73,6.37,-1.40,-2.80,movimento
2024-11-06 13:50:05,1.09,10.03,1.92,4.93,-0.03,-0.70,movimento
2024-11-06 13:50:05,-1.58,8.07,0.37,3.23,1.13,0.87,movimento
2024-11-06 13:50:05,-2.79,7.95,0.35,2.63,1.20,1.07,movimento
