timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 13:59:09,3.18,0.63,0.49,-2.20,-0.57,-2.60,in movimento
2024-11-06 13:59:09,3.23,-0.38,0.89,-1.87,-0.73,-2.90,in movimento
2024-11-06 13:59:09,-0.12,0.57,1.07,-0.63,-1.00,-3.03,in movimento
2024-11-06 13:59:09,0.70,1.02,1.00,-1.10,-2.43,-5.27,in movimento
2024-11-06 13:59:09,3.29,-0.67,1.52,-1.10,-4.13,-5.53,in movimento
2024-11-06 13:59:09,4.79,0.41,-0.13,0.03,-4.17,-3.43,in movimento
2024-11-06 13:59:09,2.24,3.72,2.49,-1.73,-3.70,-1.17,in movimento
2024-11-06 13:59:09,8.79,-2.74,0.70,-2.80,-2.80,1.13,in movimento
2024-11-06 13:59:09,8.97,1.05,-0.84,-0.97,-0.23,1.13,in movimento
2024-11-06 13:59:09,4.86,3.35,0.21,-0.37,1.13,2.30,in movimento
2024-11-06 13:59:09,3.54,2.72,0.49,-1.43,1.40,2.43,in movimento
2024-11-06 13:59:09,3.34,2.44,1.33,-2.17,1.20,1.83,in movimento
2024-11-06 13:59:09,3.61,2.40,1.04,-2.13,0.63,1.03,in movimento
2024-11-06 13:59:09,3.74,3.19,0.54,-1.83,0.37,0.53,in movimento
2024-11-06 13:59:09,4.43,3.26,1.23,-3.07,1.20,0.73,in movimento
2024-11-06 13:59:09,4.00,1.58,0.77,-3.70,1.53,1.20,in movimento
2024-11-06 13:59:09,3.77,-0.41,0.55,-3.13,1.33,1.13,in movimento
2024-11-06 13:59:09,3.17,-1.44,-0.56,-1.73,0.90,0.17,in movimento
2024-11-06 13:59:09,3.02,-0.78,-0.43,-0.23,0.67,-1.03,in movimento
2024-11-06 13:59:09,3.07,0.89,0.23,0.07,1.07,-2.23,in movimento
2024-11-06 13:59:09,2.58,1.73,0.67,-0.47,1.50,-2.97,in movimento
2024-11-06 13:59:09,1.97,1.15,0.04,-0.83,1.43,-2.37,in movimento
2024-11-06 13:59:09,1.71,0.19,-0.38,-0.70,1.03,-1.27,in movimento
2024-11-06 13:59:09,1.81,0.42,-0.26,0.00,0.37,-0.37,in movimento
2024-11-06 13:59:09,2.12,1.00,0.09,0.80,-0.03,-0.30,in movimento
