timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 16:29:30,-9.60,3.69,0.12,-0.20,0.07,-0.00,in movimento
2024-11-06 16:29:30,-9.49,3.91,-0.14,-0.13,0.00,-0.00,in movimento
2024-11-06 16:29:30,-9.44,4.14,-0.25,0.03,0.00,-0.00,in movimento
2024-11-06 16:29:30,-9.53,4.32,-0.43,0.17,0.00,-0.10,in movimento
2024-11-06 16:29:30,-9.56,4.63,-0.04,0.23,0.00,-0.20,in movimento
2024-11-06 16:29:30,-9.81,4.75,0.59,0.00,-0.20,-0.07,in movimento
2024-11-06 16:29:30,-9.36,4.17,0.60,-0.13,-0.30,-0.00,in movimento
2024-11-06 16:29:30,-9.06,4.19,0.42,-0.07,-0.10,-0.00,in movimento
2024-11-06 16:29:30,-9.10,4.40,-0.08,0.00,0.07,-0.03,in movimento
2024-11-06 16:29:30,-9.31,4.22,-0.27,0.13,0.13,-0.10,in movimento
2024-11-06 16:29:30,-9.36,4.45,0.00,0.20,-0.03,-0.00,in movimento
2024-11-06 16:29:30,-9.24,4.51,0.15,0.17,-0.13,-0.00,in movimento
2024-11-06 16:29:30,-9.12,4.58,-0.14,0.13,-0.07,-0.03,in movimento
2024-11-06 16:29:30,-9.10,4.75,0.43,0.00,-0.07,-0.07,in movimento
2024-11-06 16:29:30,-9.03,4.55,0.64,-0.13,-0.07,-0.03,in movimento
2024-11-06 16:29:30,-8.72,4.20,0.35,-0.07,-0.03,-0.03,in movimento
2024-11-06 16:29:30,-8.55,3.99,-0.06,0.07,0.00,-0.10,in movimento
2024-11-06 16:29:30,-8.64,4.25,-0.03,0.20,0.07,-0.17,in movimento
2024-11-06 16:29:30,-8.52,4.33,0.39,0.13,0.03,-0.17,in movimento
2024-11-06 16:29:30,-8.43,4.18,0.42,0.00,0.00,-0.03,in movimento
2024-11-06 16:29:30,-8.26,4.09,0.16,0.00,0.00,-0.00,in movimento
2024-11-06 16:29:30,-8.35,4.17,0.30,0.03,0.03,-0.00,in movimento
2024-11-06 16:29:30,-8.46,4.27,0.22,0.03,0.00,-0.00,in movimento
2024-11-06 16:29:30,-8.26,4.28,0.37,0.00,0.00,-0.00,in movimento
2024-11-06 16:29:30,-8.28,4.17,0.28,0.00,0.00,-0.00,in movimento
2024-11-06 16:29:30,-8.14,4.24,0.27,0.03,0.00,0.03,in movimento
2024-11-06 16:29:30,-8.29,4.16,0.42,0.00,0.07,0.07,in movimento
2024-11-06 16:29:30,-8.52,4.16,0.34,-0.03,0.07,0.07,in movimento
2024-11-06 16:29:30,-8.41,4.10,0.27,-0.03,0.00,0.07,in movimento
2024-11-06 16:29:30,-8.34,3.99,0.31,0.00,0.00,0.07,in movimento
2024-11-06 16:29:30,-8.38,3.92,0.30,0.00,0.00,0.07,in movimento
2024-11-06 16:29:30,-8.44,4.05,0.42,0.00,0.00,0.07,in movimento
2024-11-06 16:29:30,-8.45,3.97,0.45,-0.07,0.00,0.03,in movimento
2024-11-06 16:29:30,-8.60,3.93,0.21,-0.07,0.00,0.07,in movimento
2024-11-06 16:29:30,-8.36,3.87,0.12,0.00,0.00,0.07,in movimento
2024-11-06 16:29:30,-8.44,3.85,0.29,0.00,0.07,-0.00,in movimento
2024-11-06 16:29:30,-8.28,3.95,0.26,0.00,0.07,-0.00,in movimento
2024-11-06 16:29:30,-8.24,3.77,0.18,0.00,0.00,-0.03,in movimento
2024-11-06 16:29:30,-8.13,3.67,0.21,0.00,0.00,-0.03,in movimento
2024-11-06 16:29:30,-8.05,3.70,0.20,0.00,0.00,-0.03,in movimento
2024-11-06 16:29:30,-7.94,3.70,0.34,0.03,0.07,-0.07,in movimento
2024-11-06 16:29:30,-7.99,3.79,0.40,0.03,0.07,-0.10,in movimento
2024-11-06 16:29:30,-7.87,3.77,0.45,-0.03,0.00,-0.13,in movimento
