timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,label
2024-11-06 16:32:46,-7.23,8.79,0.21,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:46,-7.22,8.77,0.21,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:46,-6.27,8.77,0.14,0.07,0.00,-0.00,in movimento
2024-11-06 16:32:46,-6.84,8.78,0.15,0.07,0.00,-0.00,in movimento
2024-11-06 16:32:46,-6.30,8.77,0.18,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:46,-5.21,8.69,0.22,0.03,-0.03,-0.00,in movimento
2024-11-06 16:32:46,-4.18,8.63,0.27,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:46,-3.55,8.61,0.28,0.07,0.03,-0.00,in movimento
2024-11-06 16:32:47,-3.29,8.57,0.29,0.07,0.00,-0.00,in movimento
2024-11-06 16:32:47,-2.99,8.55,0.28,0.03,-0.03,-0.00,in movimento
2024-11-06 16:32:47,-2.54,8.46,0.28,0.00,-0.03,-0.00,in movimento
2024-11-06 16:32:47,-2.18,8.39,0.22,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:47,-2.10,8.31,0.18,0.07,0.03,-0.00,in movimento
2024-11-06 16:32:47,-2.02,8.27,0.19,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:47,-1.82,8.14,0.22,0.00,-0.03,-0.00,in movimento
2024-11-06 16:32:47,-1.59,8.08,0.23,0.00,-0.03,-0.00,in movimento
2024-11-06 16:32:47,-1.45,7.94,0.30,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:47,-1.32,7.90,0.31,0.03,0.03,-0.00,in movimento
2024-11-06 16:32:47,-1.30,7.82,0.24,0.00,0.00,-0.00,in movimento
2024-11-06 16:32:47,-1.06,7.75,0.24,0.00,-0.03,-0.00,in movimento
2024-11-06 16:32:47,-1.08,7.60,0.20,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:47,-1.14,7.56,0.22,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:47,-1.12,7.38,0.28,0.03,0.00,-0.00,in movimento
2024-11-06 16:32:47,-0.95,7.31,0.40,0.00,0.00,-0.00,in movimento
2024-11-06 16:32:47,-0.99,7.48,0.45,0.00,0.00,-0.00,in movimento
2024-11-06 16:32:47,-1.08,7.45,0.64,0.00,-0.03,-0.00,in movimento
2024-11-06 16:32:47,-1.12,7.57,0.87,0.00,-0.07,-0.00,in movimento
2024-11-06 16:32:47,-1.13,7.47,1.49,-0.03,-0.17,-0.00,in movimento
2024-11-06 16:32:47,-1.39,7.67,2.15,-0.10,-0.30,-0.00,in movimento
